"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"AmeriCorps Governors and Mayor's Initiative                                                                                                                                                                                                                     ","FL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Orlando                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"AmeriCorps Governors and Mayor's Initiative                                                                                                                                                                                                                     ","IA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Davenport                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"AmeriCorps Governors and Mayor's Initiative                                                                                                                                                                                                                     ","IA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Des Moines                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"AmeriCorps Governors and Mayor's Initiative                                                                                                                                                                                                                     ","MA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Boston                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"AmeriCorps Governors and Mayor's Initiative                                                                                                                                                                                                                     ","MI                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Detroit                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"AmeriCorps Governors and Mayor's Initiative                                                                                                                                                                                                                     ","NJ                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Camden                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"AmeriCorps Governors and Mayor's Initiative                                                                                                                                                                                                                     ","PA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Philadelphia                                                                                                                                                                                                                                                            ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"AmeriCorps Governors and Mayor's Initiative                                                                                                                                                                                                                     ","SC                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Spartanburg                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"AmeriCorps Governors and Mayor's Initiative                                                                                                                                                                                                                     ","UT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Ogden                                                                                                                                                                                                                                                                   ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"AmeriCorps Governors and Mayor's Initiative                                                                                                                                                                                                                     ","VT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Montpelier                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
