"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"CNCS State Offices                                                                                                                                                                                                                                              ","AL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Birmingham                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/Alabama                                                                              ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","AZ                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Phoenix                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/Arizona                                                                              ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Los Angeles                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/California                                                                           ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","CO                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Denver                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/Colorado                                                                             ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","CT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Hartford                                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/Connecticut                                                                          ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","DE                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Dover                                                                                                                                                                                                                                                                   ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/Delaware                                                                             ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","FL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Orlando                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/Florida                                                                              ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","GA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Atlanta                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/Georgia                                                                              ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","HI                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Honolulu                                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/Hawaii                                                                               ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","IA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Des Moines                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/Iowa                                                                                 ",1
