"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"NEA Our Town                                                                                                                                                                                                                                                    ","AK                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Anchorage                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"NEA Our Town                                                                                                                                                                                                                                                    ","AL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Birmingham                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://arts.gov/national/our-town/grantee/2014/birmingham-museum-art-members                                                                       ",1
"NEA Our Town                                                                                                                                                                                                                                                    ","AL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Huntsville                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://arts.gov/exploring-our-town/huntsville-public-art-plan                                                                                      ",1
"NEA Our Town                                                                                                                                                                                                                                                    ","AR                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Fayetteville                                                                                                                                                                                                                                                            ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"NEA Our Town                                                                                                                                                                                                                                                    ","AR                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Fayetteville                                                                                                                                                                                                                                                            ","Downtown                                                                                                                                                                                                                                                                                                                                                                                                                                         ","http://arts.gov/national/our-town/grantee/2013/city-fayetteville-arkansas                                                                          ",1
"NEA Our Town                                                                                                                                                                                                                                                    ","AR                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Little Rock                                                                                                                                                                                                                                                             ","Main Street                                                                                                                                                                                                                                                                                                                                                                                                                                      ","http://arts.gov/exploring-our-town/main-street-creative-corridor                                                                                   ",1
"NEA Our Town                                                                                                                                                                                                                                                    ","AZ                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Phoenix                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://arts.gov/national/our-town/grantee/2014/city-phoenix-arizona-aka-phoenix-office-arts-and-culture                                            ",1
"NEA Our Town                                                                                                                                                                                                                                                    ","AZ                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Phoenix                                                                                                                                                                                                                                                                 ","Downtown                                                                                                                                                                                                                                                                                                                                                                                                                                         ","http://arts.gov/content/city-phoenix-office-arts-and-culture                                                                                       ",1
"NEA Our Town                                                                                                                                                                                                                                                    ","AZ                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Phoenix                                                                                                                                                                                                                                                                 ","Roosevelt Row                                                                                                                                                                                                                                                                                                                                                                                                                                    ","http://arts.gov/exploring-our-town/cultural-connections                                                                                            ",1
"NEA Our Town                                                                                                                                                                                                                                                    ","AZ                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Tucson                                                                                                                                                                                                                                                                  ","Warehouse Arts District                                                                                                                                                                                                                                                                                                                                                                                                                          ","http://arts.gov/exploring-our-town/warehouse-arts-district                                                                                         ",1
"NEA Our Town                                                                                                                                                                                                                                                    ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Fresno                                                                                                                                                                                                                                                                  ","Downtown                                                                                                                                                                                                                                                                                                                                                                                                                                         ","http://arts.gov/national/our-town/grantee/2013/city-fresno-california                                                                              ",1
"NEA Our Town                                                                                                                                                                                                                                                    ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Long Beach                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://arts.gov/content/public-corporation-arts-city-long-beach-arts-council-long-beach                                                            ",1
"NEA Our Town                                                                                                                                                                                                                                                    ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Long Beach                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://arts.gov/national/our-town/grantee/2012/public-corporation-arts-city-long-beach-arts-council-long-beach                                     ",1
"NEA Our Town                                                                                                                                                                                                                                                    ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Los Angeles                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://arts.gov/content/city-los-angeles-department-cultural-affairs                                                                               ",1
"NEA Our Town                                                                                                                                                                                                                                                    ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Los Angeles                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://arts.gov/national/our-town/grantee/2013/city-los-angeles-department-cultural-affairs                                                        ",1
"NEA Our Town                                                                                                                                                                                                                                                    ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Los Angeles                                                                                                                                                                                                                                                             ","Los Angeles Promise Zone                                                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"NEA Our Town                                                                                                                                                                                                                                                    ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Los Angeles                                                                                                                                                                                                                                                             ","Watts neighborhood                                                                                                                                                                                                                                                                                                                                                                                                                               ","http://arts.gov/exploring-our-town/watts-our-town                                                                                                  ",1
"NEA Our Town                                                                                                                                                                                                                                                    ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Los Angeles                                                                                                                                                                                                                                                             ","Willowbrook                                                                                                                                                                                                                                                                                                                                                                                                                                      ","http://arts.gov/exploring-our-town/project-willowbrook                                                                                             ",1
"NEA Our Town                                                                                                                                                                                                                                                    ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Oakland                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://arts.gov/exploring-our-town/uptown-art-park                                                                                                 ",1
"NEA Our Town                                                                                                                                                                                                                                                    ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Oakland                                                                                                                                                                                                                                                                 ","International Boulevard                                                                                                                                                                                                                                                                                                                                                                                                                          ","http://arts.gov/national/our-town/grantee/2014/eastside-arts-alliance                                                                              ",1
"NEA Our Town                                                                                                                                                                                                                                                    ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Richmond                                                                                                                                                                                                                                                                ","Iron Triangle                                                                                                                                                                                                                                                                                                                                                                                                                                    ","http://arts.gov/exploring-our-town/iron-triangle-interactive-art                                                                                   ",1
"NEA Our Town                                                                                                                                                                                                                                                    ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Sacramento                                                                                                                                                                                                                                                              ","Washington District of West Sacramento and downtown Sacramento                                                                                                                                                                                                                                                                                                                                                                                   ","                                                                                                                                                   ",1
"NEA Our Town                                                                                                                                                                                                                                                    ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","San Diego                                                                                                                                                                                                                                                               ","Diamond neighborhoods                                                                                                                                                                                                                                                                                                                                                                                                                            ","                                                                                                                                                   ",1
"NEA Our Town                                                                                                                                                                                                                                                    ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","San Diego                                                                                                                                                                                                                                                               ","Market Creek                                                                                                                                                                                                                                                                                                                                                                                                                                     ","http://arts.gov/exploring-our-town/village-market-creek                                                                                            ",1
"NEA Our Town                                                                                                                                                                                                                                                    ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","San Jose                                                                                                                                                                                                                                                                ","Cultural District                                                                                                                                                                                                                                                                                                                                                                                                                                ","http://arts.gov/national/our-town/grantee/2013/city-san-jose-california-office-cultural-affairs                                                    ",1
"NEA Our Town                                                                                                                                                                                                                                                    ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","San Jose                                                                                                                                                                                                                                                                ","Downtown                                                                                                                                                                                                                                                                                                                                                                                                                                         ","http://arts.gov/exploring-our-town/silicon-valley-insideout                                                                                        ",1
"NEA Our Town                                                                                                                                                                                                                                                    ","CO                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Colorado Springs                                                                                                                                                                                                                                                        ","Pikes Peak region                                                                                                                                                                                                                                                                                                                                                                                                                                ","http://arts.gov/national/our-town/grantee/2012/sprinkle-art-imagination-celebration                                                                ",1
"NEA Our Town                                                                                                                                                                                                                                                    ","CO                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Denver                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://arts.gov/national/our-town/grantee/2012/redline                                                                                             ",1
