"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"SBA Resources                                                                                                                                                                                                                                                   ","AK                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Anchorage                                                                                                                                                                                                                                                               ","Alaska District Office                                                                                                                                                                                                                                                                                                                                                                                                                           ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","AL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Birmingham                                                                                                                                                                                                                                                              ","Alabama District Office                                                                                                                                                                                                                                                                                                                                                                                                                          ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","AR                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Little Rock                                                                                                                                                                                                                                                             ","Arkansas District Office                                                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","AZ                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Phoenix                                                                                                                                                                                                                                                                 ","Arizona District Office                                                                                                                                                                                                                                                                                                                                                                                                                          ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Fresno                                                                                                                                                                                                                                                                  ","Fresno District Office                                                                                                                                                                                                                                                                                                                                                                                                                           ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Los Angeles                                                                                                                                                                                                                                                             ","Los Angeles District Office                                                                                                                                                                                                                                                                                                                                                                                                                      ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Sacramento                                                                                                                                                                                                                                                              ","Sacramento District Office                                                                                                                                                                                                                                                                                                                                                                                                                       ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","San Diego                                                                                                                                                                                                                                                               ","San Diego District Office                                                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","San Francisco                                                                                                                                                                                                                                                           ","San Francisco District Office                                                                                                                                                                                                                                                                                                                                                                                                                    ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Santa Ana                                                                                                                                                                                                                                                               ","Santa Ana District Office                                                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","CO                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Denver                                                                                                                                                                                                                                                                  ","Colorado District Office                                                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","CT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Hartford                                                                                                                                                                                                                                                                ","Connecticut District Office                                                                                                                                                                                                                                                                                                                                                                                                                      ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","DC                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Washington                                                                                                                                                                                                                                                              ","Washington D.C. District Office                                                                                                                                                                                                                                                                                                                                                                                                                  ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","DE                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Wilmington                                                                                                                                                                                                                                                              ","Delaware District Office                                                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","FL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Jacksonville                                                                                                                                                                                                                                                            ","Jacksonville District Office                                                                                                                                                                                                                                                                                                                                                                                                                     ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","FL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Miami                                                                                                                                                                                                                                                                   ","Miami District Office                                                                                                                                                                                                                                                                                                                                                                                                                            ","                                                                                                                                                   ",1
