"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","AK                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Newtok                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","AK                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Shaktoolik                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","AK                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Shishmaref                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","AL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Selma                                                                                                                                                                                                                                                                   ","Montgomery Trail Communities                                                                                                                                                                                                                                                                                                                                                                                                                     ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","AL                                                                                                                                                                                                                                                             ","Jefferson                                                                                                                                                                                                                                                      ","                                                                                                                                                                                                                                                                        ","North Birmingham                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","AR                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Crossett                                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Gilroy                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Imperial Valley                                                                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","CO                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Denver                                                                                                                                                                                                                                                                  ","Sun Valley Neighborhood                                                                                                                                                                                                                                                                                                                                                                                                                          ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","CT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Bridgeport                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","DE                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Dover                                                                                                                                                                                                                                                                   ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","GA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Atlanta                                                                                                                                                                                                                                                                 ","Proctor Creek Watershed                                                                                                                                                                                                                                                                                                                                                                                                                          ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","IA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Council Bluffs                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","IA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Muscatine                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","ID                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Nampa                                                                                                                                                                                                                                                                   ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","IL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Chicago                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","IN                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Gary                                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","KS                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Kansas City                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","KS                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Witchita                                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","LA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Alexandria                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","LA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Pineville                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
