"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"Mayor's Challenge to End Veterans Homelessness                                                                                                                                                                                                                  ","AK                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Anchorage                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Mayor's Challenge to End Veterans Homelessness                                                                                                                                                                                                                  ","AL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Anniston                                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Mayor's Challenge to End Veterans Homelessness                                                                                                                                                                                                                  ","AL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Bessemer                                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Mayor's Challenge to End Veterans Homelessness                                                                                                                                                                                                                  ","AL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Birmingham                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Mayor's Challenge to End Veterans Homelessness                                                                                                                                                                                                                  ","AL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Helena                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Mayor's Challenge to End Veterans Homelessness                                                                                                                                                                                                                  ","AL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Huntsville                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Mayor's Challenge to End Veterans Homelessness                                                                                                                                                                                                                  ","AL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Mobile                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Mayor's Challenge to End Veterans Homelessness                                                                                                                                                                                                                  ","AL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Nauvoo                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Mayor's Challenge to End Veterans Homelessness                                                                                                                                                                                                                  ","AL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Selma                                                                                                                                                                                                                                                                   ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Mayor's Challenge to End Veterans Homelessness                                                                                                                                                                                                                  ","AL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Sipsey                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Mayor's Challenge to End Veterans Homelessness                                                                                                                                                                                                                  ","AL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Tarrant                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Mayor's Challenge to End Veterans Homelessness                                                                                                                                                                                                                  ","AL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Tuscaloosa                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Mayor's Challenge to End Veterans Homelessness                                                                                                                                                                                                                  ","AL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Wetumpka                                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Mayor's Challenge to End Veterans Homelessness                                                                                                                                                                                                                  ","AR                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Fayetteville                                                                                                                                                                                                                                                            ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
