"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"My Brother's Keeper Community Challenge                                                                                                                                                                                                                         ","AL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Anniston                                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"My Brother's Keeper Community Challenge                                                                                                                                                                                                                         ","AL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Birmingham                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",2
"My Brother's Keeper Community Challenge                                                                                                                                                                                                                         ","AL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Hobson                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"My Brother's Keeper Community Challenge                                                                                                                                                                                                                         ","AL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Prichard                                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"My Brother's Keeper Community Challenge                                                                                                                                                                                                                         ","AR                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Little Rock                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"My Brother's Keeper Community Challenge                                                                                                                                                                                                                         ","AZ                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Phoenix                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",2
"My Brother's Keeper Community Challenge                                                                                                                                                                                                                         ","AZ                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Tempe                                                                                                                                                                                                                                                                   ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"My Brother's Keeper Community Challenge                                                                                                                                                                                                                         ","AZ                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Tucson                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"My Brother's Keeper Community Challenge                                                                                                                                                                                                                         ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Claremont                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"My Brother's Keeper Community Challenge                                                                                                                                                                                                                         ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Compton                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"My Brother's Keeper Community Challenge                                                                                                                                                                                                                         ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Culver City                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"My Brother's Keeper Community Challenge                                                                                                                                                                                                                         ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Fresno                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",2
"My Brother's Keeper Community Challenge                                                                                                                                                                                                                         ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Hawthorne                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"My Brother's Keeper Community Challenge                                                                                                                                                                                                                         ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Long Beach                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",2
