"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","AL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Mobile                                                                                                                                                                                                                                                                  ","Thomas James Place                                                                                                                                                                                                                                                                                                                                                                                                                               ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","AL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Mobile                                                                                                                                                                                                                                                                  ","Three Mile Trace                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","AR                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Little Rock                                                                                                                                                                                                                                                             ","Central Little Rock                                                                                                                                                                                                                                                                                                                                                                                                                              ","                                                                                                                                                   ",5
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Los Angeles                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Los Angeles                                                                                                                                                                                                                                                             ","Pacoima and Hollywood                                                                                                                                                                                                                                                                                                                                                                                                                            ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Sacramento                                                                                                                                                                                                                                                              ","River District-Railyards                                                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Sacramento                                                                                                                                                                                                                                                              ","Upper Land Park-Broadway                                                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","San Francisco                                                                                                                                                                                                                                                           ","South Potrero                                                                                                                                                                                                                                                                                                                                                                                                                                    ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","San Francisco                                                                                                                                                                                                                                                           ","Sunnydale/Visitacion Valley                                                                                                                                                                                                                                                                                                                                                                                                                      ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","CO                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Denver                                                                                                                                                                                                                                                                  ","Sun Valley                                                                                                                                                                                                                                                                                                                                                                                                                                       ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","CT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Meridan                                                                                                                                                                                                                                                                 ","Center City and the Mills                                                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                   ",1
