"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"Pay for Success                                                                                                                                                                                                                                                 ","AL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Tuscaloosa                                                                                                                                                                                                                                                              ","Nationwide project                                                                                                                                                                                                                                                                                                                                                                                                                               ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/nonprofit-finance-fund                                                  ",1
"Pay for Success                                                                                                                                                                                                                                                 ","AR                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Little Rock                                                                                                                                                                                                                                                             ","State of Arkansas                                                                                                                                                                                                                                                                                                                                                                                                                                ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/harvard-kennedy-school-social-impact-bond-lab                           ",1
"Pay for Success                                                                                                                                                                                                                                                 ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","San Diego                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/corporation-supportive-housing                                          ",1
"Pay for Success                                                                                                                                                                                                                                                 ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","San Diego                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/national-council-crime-and-delinquency                                  ",1
"Pay for Success                                                                                                                                                                                                                                                 ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","San Francisco                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/harvard-kennedy-school-social-impact-bond-lab                           ",1
"Pay for Success                                                                                                                                                                                                                                                 ","CA                                                                                                                                                                                                                                                             ","Orange County                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/third-sector-capital-partners-inc                                       ",1
"Pay for Success                                                                                                                                                                                                                                                 ","CA                                                                                                                                                                                                                                                             ","Sonoma County                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/institute-child-success                                                 ",1
"Pay for Success                                                                                                                                                                                                                                                 ","CO                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Denver                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/nonprofit-finance-fund                                                  ",1
"Pay for Success                                                                                                                                                                                                                                                 ","CO                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Denver                                                                                                                                                                                                                                                                  ","State of Colorado                                                                                                                                                                                                                                                                                                                                                                                                                                ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/university-utah-policy-innovation-lab                                   ",1
"Pay for Success                                                                                                                                                                                                                                                 ","CO                                                                                                                                                                                                                                                             ","Adams County                                                                                                                                                                                                                                                   ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/university-utah-policy-innovation-lab                                   ",1
"Pay for Success                                                                                                                                                                                                                                                 ","CT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Hartford                                                                                                                                                                                                                                                                ","State of Connecticut                                                                                                                                                                                                                                                                                                                                                                                                                             ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/institute-child-success                                                 ",1
"Pay for Success                                                                                                                                                                                                                                                 ","CT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","New Haven                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/national-council-crime-and-delinquency                                  ",1
