"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"Climate Action Champions                                                                                                                                                                                                                                        ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","San Francisco                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Climate Action Champions                                                                                                                                                                                                                                        ","CA                                                                                                                                                                                                                                                             ","Sonoma                                                                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Climate Action Champions                                                                                                                                                                                                                                        ","DC                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Washington                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",2
"Climate Action Champions                                                                                                                                                                                                                                        ","FL                                                                                                                                                                                                                                                             ","Broward                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                        ","Southeast Florida Regional Climate Change Compact                                                                                                                                                                                                                                                                                                                                                                                                ","                                                                                                                                                   ",1
"Climate Action Champions                                                                                                                                                                                                                                        ","IA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Dubuque                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Climate Action Champions                                                                                                                                                                                                                                        ","MA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Boston                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",2
"Climate Action Champions                                                                                                                                                                                                                                        ","MN                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Minneapolis                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",2
"Climate Action Champions                                                                                                                                                                                                                                        ","OR                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Portland                                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",2
"Climate Action Champions                                                                                                                                                                                                                                        ","TN                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Knoxville                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",2
"Climate Action Champions                                                                                                                                                                                                                                        ","UT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Salt Lake City                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Climate Action Champions                                                                                                                                                                                                                                        ","VT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Montpelier                                                                                                                                                                                                                                                              ","Montepelier                                                                                                                                                                                                                                                                                                                                                                                                                                      ","                                                                                                                                                   ",1
"Climate Action Champions                                                                                                                                                                                                                                        ","WA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Seattle                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
