"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"Persistent Poverty                                                                                                                                                                                                                                              ","AK                                                                                                                                                                                                                                                             ","Wade Hampton Census Area                                                                                                                                                                                                                                       ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Persistent Poverty                                                                                                                                                                                                                                              ","AK                                                                                                                                                                                                                                                             ","Yukon-Koyukuk Census Area                                                                                                                                                                                                                                      ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Persistent Poverty                                                                                                                                                                                                                                              ","AL                                                                                                                                                                                                                                                             ","Barbour County                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Persistent Poverty                                                                                                                                                                                                                                              ","AL                                                                                                                                                                                                                                                             ","Bullock County                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Persistent Poverty                                                                                                                                                                                                                                              ","AL                                                                                                                                                                                                                                                             ","Butler County                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Persistent Poverty                                                                                                                                                                                                                                              ","AL                                                                                                                                                                                                                                                             ","Choctaw County                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Persistent Poverty                                                                                                                                                                                                                                              ","AL                                                                                                                                                                                                                                                             ","Clarke County                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Persistent Poverty                                                                                                                                                                                                                                              ","AL                                                                                                                                                                                                                                                             ","Conecuh County                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Persistent Poverty                                                                                                                                                                                                                                              ","AL                                                                                                                                                                                                                                                             ","Dallas County                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Persistent Poverty                                                                                                                                                                                                                                              ","AL                                                                                                                                                                                                                                                             ","Escambia County                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Persistent Poverty                                                                                                                                                                                                                                              ","AL                                                                                                                                                                                                                                                             ","Greene County                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Persistent Poverty                                                                                                                                                                                                                                              ","AL                                                                                                                                                                                                                                                             ","Hale County                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Persistent Poverty                                                                                                                                                                                                                                              ","AL                                                                                                                                                                                                                                                             ","Lowndes County                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Persistent Poverty                                                                                                                                                                                                                                              ","AL                                                                                                                                                                                                                                                             ","Macon County                                                                                                                                                                                                                                                   ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Persistent Poverty                                                                                                                                                                                                                                              ","AL                                                                                                                                                                                                                                                             ","Marengo County                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Persistent Poverty                                                                                                                                                                                                                                              ","AL                                                                                                                                                                                                                                                             ","Monroe County                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Persistent Poverty                                                                                                                                                                                                                                              ","AL                                                                                                                                                                                                                                                             ","Perry County                                                                                                                                                                                                                                                   ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Persistent Poverty                                                                                                                                                                                                                                              ","AL                                                                                                                                                                                                                                                             ","Pickens County                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Persistent Poverty                                                                                                                                                                                                                                              ","AL                                                                                                                                                                                                                                                             ","Pike County                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Persistent Poverty                                                                                                                                                                                                                                              ","AL                                                                                                                                                                                                                                                             ","Sumter County                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
