"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","Alabama and Tennessee DOT                                                                                                                                                                                                                                               ","Crescent Corridor Intermodal Freight Rail Project                                                                                                                                                                                                                                                                                                                                                                                                ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","Alabama State Port Authority                                                                                                                                                                                                                                            ","Garrows Bend Intermodal Container Transfer Facility                                                                                                                                                                                                                                                                                                                                                                                              ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","Alaska Railroad Corporation                                                                                                                                                                                                                                             ","Seward Marine Terminal Expansion Plan                                                                                                                                                                                                                                                                                                                                                                                                            ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","Ames Transit                                                                                                                                                                                                                                                            ","Ames Intermodal Facility                                                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","Anoka County                                                                                                                                                                                                                                                            ","Interchange at US 10/CSAH 83                                                                                                                                                                                                                                                                                                                                                                                                                     ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","Arizona DOT                                                                                                                                                                                                                                                             ","I-15 Virgin River Gorge Bridge                                                                                                                                                                                                                                                                                                                                                                                                                   ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","Arkansas DOT                                                                                                                                                                                                                                                            ","Bella Vista Bypass (AR and MO)                                                                                                                                                                                                                                                                                                                                                                                                                   ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","Arkansas State Highway and Transportation Department                                                                                                                                                                                                                    ","Highway 92 Roadway Improvement and Bridge Replacements                                                                                                                                                                                                                                                                                                                                                                                           ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","Assiniboine & Sioux Tribes of the Fort Peck Reservation                                                                                                                                                                                                                 ","Poplar Airport Redevelopment and Regional Access Project                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","Augusta-Richmond County                                                                                                                                                                                                                                                 ","Augusta Sustainable Development Implementation Program                                                                                                                                                                                                                                                                                                                                                                                           ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","AVCP on behalf of Village of Alakanuk                                                                                                                                                                                                                                   ","Alakanuk Community Streets Improvement                                                                                                                                                                                                                                                                                                                                                                                                           ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","Bernalillo County                                                                                                                                                                                                                                                       ","Bridge Boulevard Corridor Redevelopment Plan                                                                                                                                                                                                                                                                                                                                                                                                     ","                                                                                                                                                   ",1
