"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"Youth Violence Prevention Forum                                                                                                                                                                                                                                 ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Salinas                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://youth.gov/youth-topics/preventing-youth-violence/spotlight-forum-communities#boston                                                         ",1
"Youth Violence Prevention Forum                                                                                                                                                                                                                                 ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","San Jose                                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://youth.gov/youth-topics/preventing-youth-violence/spotlight-forum-communities#boston                                                         ",1
"Youth Violence Prevention Forum                                                                                                                                                                                                                                 ","IL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Chicago                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://youth.gov/youth-topics/preventing-youth-violence/spotlight-forum-communities#boston                                                         ",1
"Youth Violence Prevention Forum                                                                                                                                                                                                                                 ","LA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","New Orleans                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://youth.gov/youth-topics/preventing-youth-violence/spotlight-forum-communities#boston                                                         ",1
"Youth Violence Prevention Forum                                                                                                                                                                                                                                 ","MA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Boston                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://youth.gov/youth-topics/preventing-youth-violence/spotlight-forum-communities#boston                                                         ",1
"Youth Violence Prevention Forum                                                                                                                                                                                                                                 ","MI                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Detroit                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://youth.gov/youth-topics/preventing-youth-violence/spotlight-forum-communities#boston                                                         ",1
"Youth Violence Prevention Forum                                                                                                                                                                                                                                 ","MN                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Minneapolis                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://youth.gov/youth-topics/preventing-youth-violence/spotlight-forum-communities#boston                                                         ",1
"Youth Violence Prevention Forum                                                                                                                                                                                                                                 ","NJ                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Camden                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://youth.gov/youth-topics/preventing-youth-violence/spotlight-forum-communities#boston                                                         ",1
"Youth Violence Prevention Forum                                                                                                                                                                                                                                 ","PA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Philadelphia                                                                                                                                                                                                                                                            ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://youth.gov/youth-topics/preventing-youth-violence/spotlight-forum-communities#boston                                                         ",1
"Youth Violence Prevention Forum                                                                                                                                                                                                                                 ","TN                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Memphis                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://youth.gov/youth-topics/preventing-youth-violence/spotlight-forum-communities#boston                                                         ",1
