"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","AZ                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Kykotsmovi                                                                                                                                                                                                                                                              ","Planning the Development of the Tawa'ovi Community on the Hopi Reservation                                                                                                                                                                                                                                                                                                                                                                       ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","AZ                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Phoenix                                                                                                                                                                                                                                                                 ","Re-Invent Phoenix: Cultivating Equity, Engagement, Economic Development and Design Excellence with TOD                                                                                                                                                                                                                                                                                                                                           ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Los Angeles                                                                                                                                                                                                                                                             ","NELA Collaborative                                                                                                                                                                                                                                                                                                                                                                                                                               ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Sacramento                                                                                                                                                                                                                                                              ","Sacramento Area TOD Loan Fund & Food Distribution                                                                                                                                                                                                                                                                                                                                                                                                ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Santa Monica                                                                                                                                                                                                                                                            ","Bergamot Station, Bergamot Transit Village and Mixed Use Creative District Master Plan                                                                                                                                                                                                                                                                                                                                                           ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","West Sacramento                                                                                                                                                                                                                                                         ","Washington District Plan for Sustainable Community Development                                                                                                                                                                                                                                                                                                                                                                                   ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","CO                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Denver                                                                                                                                                                                                                                                                  ","Colorado Sustainable Main Streets                                                                                                                                                                                                                                                                                                                                                                                                                ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","CO                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Denver                                                                                                                                                                                                                                                                  ","Colorado Sustainable Main Streets                                                                                                                                                                                                                                                                                                                                                                                                                ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","CO                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Denver                                                                                                                                                                                                                                                                  ","Colorado Sustainable Main Streets                                                                                                                                                                                                                                                                                                                                                                                                                ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","CO                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Denver                                                                                                                                                                                                                                                                  ","Colorado Sustainable Main Streets                                                                                                                                                                                                                                                                                                                                                                                                                ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","CO                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Denver                                                                                                                                                                                                                                                                  ","Denver Livabilit Program                                                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","CT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Hartford                                                                                                                                                                                                                                                                ","Planning, Development, and Livability Initiatives for Connecticut's Communities along the New Haven Hartford Springfield Corridor (Phase I - New Haven and Meriden)                                                                                                                                                                                                                                                                              ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","CT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Hartford                                                                                                                                                                                                                                                                ","Planning, Development, and Livability Initiatives for Connecticut's Communities along the New Haven Hartford Springfield Corridor (Phase I - New Haven and Meriden)                                                                                                                                                                                                                                                                              ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","CT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Mansfield                                                                                                                                                                                                                                                               ","Mansfield Tomorrow                                                                                                                                                                                                                                                                                                                                                                                                                               ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","CT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Stamford                                                                                                                                                                                                                                                                ","VITA Stamford                                                                                                                                                                                                                                                                                                                                                                                                                                    ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","DC                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Washington                                                                                                                                                                                                                                                              ","Historic Anacostia Community-Led Comprehensive Revitalization Plan                                                                                                                                                                                                                                                                                                                                                                               ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","FL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Opa-locka                                                                                                                                                                                                                                                               ","Sustainable Opalocka 20/30                                                                                                                                                                                                                                                                                                                                                                                                                       ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","FL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Tampa                                                                                                                                                                                                                                                                   ","City of Tampa Primary Transit Corridor Master Plan                                                                                                                                                                                                                                                                                                                                                                                               ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","FL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","West Palm Beach                                                                                                                                                                                                                                                         ","Glades Region Master Plan                                                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","GA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Augusta                                                                                                                                                                                                                                                                 ","Augusta Sustainable Development Implementation Program                                                                                                                                                                                                                                                                                                                                                                                           ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","HI                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Honolulu                                                                                                                                                                                                                                                                ","A Transit-Oriented Housing Strategy for Honolulu                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","IL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","East Hazel Crest                                                                                                                                                                                                                                                        ","Blue Print for a Green Zone: Planning for the Chicago South Suburban TOD Housing Initiative                                                                                                                                                                                                                                                                                                                                                      ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","IL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Freeport                                                                                                                                                                                                                                                                ","Rawleigh Redevelopment Initiative                                                                                                                                                                                                                                                                                                                                                                                                                ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","IL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Oak Park                                                                                                                                                                                                                                                                ","West Cook County Transit Oriented Development Strategy                                                                                                                                                                                                                                                                                                                                                                                           ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","IN                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Indianapolis                                                                                                                                                                                                                                                            ","Indy Rezone                                                                                                                                                                                                                                                                                                                                                                                                                                      ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","KY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Covington                                                                                                                                                                                                                                                               ","Covington's Downtown Action Plan                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","LA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Hahnville                                                                                                                                                                                                                                                               ","LA 52 Corridor Revitalization Plan                                                                                                                                                                                                                                                                                                                                                                                                               ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","LA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","New Orleans                                                                                                                                                                                                                                                             ","Claiborne Corridor Plan: Leveraging Infrastructure to Build Inter-Parish Access and Equity                                                                                                                                                                                                                                                                                                                                                       ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","MA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Boston                                                                                                                                                                                                                                                                  ","Fairmount Line Smart Growth Corridor Project                                                                                                                                                                                                                                                                                                                                                                                                     ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","MA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Fitchburg                                                                                                                                                                                                                                                               ","Wachusett Station Smart Growth Corridor Plan                                                                                                                                                                                                                                                                                                                                                                                                     ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","MA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Somerville                                                                                                                                                                                                                                                              ","Preparing for Transit in the 21st Century, Somerville, MA                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","MA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Worcester                                                                                                                                                                                                                                                               ","Main South to Loomworks Revitalization                                                                                                                                                                                                                                                                                                                                                                                                           ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","MD                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Upper Marlboro                                                                                                                                                                                                                                                          ","Metro Green Line Transit-Oriented Development (TOD) Corridor Action Plan                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","MI                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Ann Arbor                                                                                                                                                                                                                                                               ","Washtenaw County Sustainable Community                                                                                                                                                                                                                                                                                                                                                                                                           ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","MI                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Flint                                                                                                                                                                                                                                                                   ","Master Plan for a Sustainable Flint                                                                                                                                                                                                                                                                                                                                                                                                              ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","MI                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Grand Rapids                                                                                                                                                                                                                                                            ","Michigan Street Corridor Plan                                                                                                                                                                                                                                                                                                                                                                                                                    ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","MI                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Traverse City                                                                                                                                                                                                                                                           ","Grand Traverse County Master Plan and Housing Strategy                                                                                                                                                                                                                                                                                                                                                                                           ","                                                                                                                                                   ",1
