"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"StrikeForce                                                                                                                                                                                                                                                     ","AK                                                                                                                                                                                                                                                             ","Aleutians East Borough                                                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"StrikeForce                                                                                                                                                                                                                                                     ","AK                                                                                                                                                                                                                                                             ","Bethel Census Area                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"StrikeForce                                                                                                                                                                                                                                                     ","AK                                                                                                                                                                                                                                                             ","Dillingham Census Area                                                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"StrikeForce                                                                                                                                                                                                                                                     ","AK                                                                                                                                                                                                                                                             ","Haines Borough                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"StrikeForce                                                                                                                                                                                                                                                     ","AK                                                                                                                                                                                                                                                             ","Hoonah-Angoon Census Area                                                                                                                                                                                                                                      ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"StrikeForce                                                                                                                                                                                                                                                     ","AK                                                                                                                                                                                                                                                             ","Juneau City and Borough                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"StrikeForce                                                                                                                                                                                                                                                     ","AK                                                                                                                                                                                                                                                             ","Ketchikan Gateway Borough                                                                                                                                                                                                                                      ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"StrikeForce                                                                                                                                                                                                                                                     ","AK                                                                                                                                                                                                                                                             ","Lake and Peninsula Borough                                                                                                                                                                                                                                     ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"StrikeForce                                                                                                                                                                                                                                                     ","AK                                                                                                                                                                                                                                                             ","Nome Census Area                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"StrikeForce                                                                                                                                                                                                                                                     ","AK                                                                                                                                                                                                                                                             ","Northwest Arctic Borough                                                                                                                                                                                                                                       ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"StrikeForce                                                                                                                                                                                                                                                     ","AK                                                                                                                                                                                                                                                             ","Petersburg Census Area                                                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"StrikeForce                                                                                                                                                                                                                                                     ","AK                                                                                                                                                                                                                                                             ","Prince of Wales-Hyder Census Area                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"StrikeForce                                                                                                                                                                                                                                                     ","AK                                                                                                                                                                                                                                                             ","Sitka City and Borough                                                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"StrikeForce                                                                                                                                                                                                                                                     ","AK                                                                                                                                                                                                                                                             ","Skagway Municipality                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"StrikeForce                                                                                                                                                                                                                                                     ","AK                                                                                                                                                                                                                                                             ","Wade Hampton Census Area                                                                                                                                                                                                                                       ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"StrikeForce                                                                                                                                                                                                                                                     ","AK                                                                                                                                                                                                                                                             ","Wrangell City and Borough                                                                                                                                                                                                                                      ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"StrikeForce                                                                                                                                                                                                                                                     ","AK                                                                                                                                                                                                                                                             ","Yakutat City and Borough                                                                                                                                                                                                                                       ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"StrikeForce                                                                                                                                                                                                                                                     ","AK                                                                                                                                                                                                                                                             ","Yukon-Koyukuk Census Area                                                                                                                                                                                                                                      ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"StrikeForce                                                                                                                                                                                                                                                     ","AL                                                                                                                                                                                                                                                             ","Barbour County                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"StrikeForce                                                                                                                                                                                                                                                     ","AL                                                                                                                                                                                                                                                             ","Bibb County                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"StrikeForce                                                                                                                                                                                                                                                     ","AL                                                                                                                                                                                                                                                             ","Bullock County                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"StrikeForce                                                                                                                                                                                                                                                     ","AL                                                                                                                                                                                                                                                             ","Butler County                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"StrikeForce                                                                                                                                                                                                                                                     ","AL                                                                                                                                                                                                                                                             ","Calhoun County                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"StrikeForce                                                                                                                                                                                                                                                     ","AL                                                                                                                                                                                                                                                             ","Chambers County                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"StrikeForce                                                                                                                                                                                                                                                     ","AL                                                                                                                                                                                                                                                             ","Cherokee County                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"StrikeForce                                                                                                                                                                                                                                                     ","AL                                                                                                                                                                                                                                                             ","Choctaw County                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"StrikeForce                                                                                                                                                                                                                                                     ","AL                                                                                                                                                                                                                                                             ","Clarke County                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"StrikeForce                                                                                                                                                                                                                                                     ","AL                                                                                                                                                                                                                                                             ","Conecuh County                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
