"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"TechHire                                                                                                                                                                                                                                                        ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Los Angeles                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"TechHire                                                                                                                                                                                                                                                        ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","San Francisco                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"TechHire                                                                                                                                                                                                                                                        ","CO                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Colorado                                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"TechHire                                                                                                                                                                                                                                                        ","KY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Eastern Kentucky                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"TechHire                                                                                                                                                                                                                                                        ","KY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Louisville                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"TechHire                                                                                                                                                                                                                                                        ","MI                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Detroit                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"TechHire                                                                                                                                                                                                                                                        ","MN                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Minneapolis                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"TechHire                                                                                                                                                                                                                                                        ","MO                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Kansas City, MO                                                                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"TechHire                                                                                                                                                                                                                                                        ","MO                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","St. Louis                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"TechHire                                                                                                                                                                                                                                                        ","NE                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Nebraska - Buffalo County                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"TechHire                                                                                                                                                                                                                                                        ","NM                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Albuquerque                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"TechHire                                                                                                                                                                                                                                                        ","NY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","New York City                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"TechHire                                                                                                                                                                                                                                                        ","NY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Rochester                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"TechHire                                                                                                                                                                                                                                                        ","OH                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Delaware                                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"TechHire                                                                                                                                                                                                                                                        ","OR                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Portland                                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"TechHire                                                                                                                                                                                                                                                        ","PA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Philadelphia                                                                                                                                                                                                                                                            ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"TechHire                                                                                                                                                                                                                                                        ","TN                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Chattanooga                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"TechHire                                                                                                                                                                                                                                                        ","TN                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Memphis                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"TechHire                                                                                                                                                                                                                                                        ","TN                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Nashville                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"TechHire                                                                                                                                                                                                                                                        ","TX                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","San Antonio                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"TechHire                                                                                                                                                                                                                                                        ","UT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Salt Lake City                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
